distribution,pop_skewness,sample_size,mean_sampling_skewness,median_sampling_skewness,lower_quantile,upper_quantile
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,400,1.282572649878635,1.2329384991115249,0.8238219221335029,2.0432115655832943
"Gamma (α = 2, θ = 1)",1.4142135623730951,400,1.385124292839458,1.3524168097584084,0.9806660283545101,1.9837385555391334
"Gamma (α = 1.78, θ = 1)",1.499063377991723,400,1.4669350590662988,1.4323098068741955,1.0430352016148814,2.0924308571011374
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,400,1.4724522117991616,1.4065591085387679,0.9499564581482901,2.3928132114982206
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,400,1.704715799887293,1.659858291373661,1.2274728139343114,2.4507410914398986
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,400,1.6719329686999131,1.584530886427812,1.0747487181057178,2.7928754199834187
"Gamma (α = 1, θ = 1)",2,400,1.9422290117633203,1.8868757701558796,1.405704297926615,2.8057024453031003
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,400,1.8838381204657464,1.7724079337790828,1.1975107095640787,3.2498260877234832
"Gamma (α = 0.79, θ = 1)",2.250175801852048,400,2.1807569818637553,2.112769818881077,1.5761757292923106,3.1892884507611705
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,400,2.1027628370616886,1.9623005558151796,1.3267205088727188,3.739671254298413
"Gamma (α = 0.64, θ = 1)",2.5,400,2.410767242461643,2.3321731632548435,1.7442180351582623,3.5415117320085723
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,400,2.34117793374957,2.1682455394962976,1.4475842023068193,4.312656509179556
"Gamma (α = 0.53, θ = 1)",2.7472112789737806,400,2.6401548129277295,2.549343403647245,1.9080608125409735,3.9174237223040658
"Log-normal (μ = 0, σ = 0.7)",2.8883566031310934,400,2.5879656135192945,2.377740226090455,1.5733601647731714,4.946216353039162
"Gamma (α = 0.44, θ = 1)",3.0151134457776365,400,2.8794779823906094,2.773137843688563,2.0725868846520523,4.305496595297249
"Log-normal (μ = 0, σ = 0.75)",3.262912728207002,400,2.8499622569382503,2.5944640872759006,1.7008598724593713,5.586512497777827
"Gamma (α = 16, θ = 1)",0.5,450,0.4939866782938916,0.48680651810065434,0.24964824221875404,0.7785841478279731
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,450,0.7657511329775033,0.7495895325031996,0.46307396615421165,1.1602853869818193
"Gamma (α = 4, θ = 1)",1,450,0.985233900593032,0.9673389450870967,0.6748137053201421,1.4021874256530005
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,450,1.1047407982029627,1.0703270683855437,0.7216689951283382,1.7008025736597088
"Gamma (α = 2.56, θ = 1)",1.25,450,1.2288546393495166,1.2046051298197007,0.8726142047213585,1.728164987393136
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,450,1.2854370340530892,1.2388461867666565,0.84638731961096,1.9964016219433383
"Gamma (α = 2, θ = 1)",1.4142135623730951,450,1.3878836157292784,1.357967144325119,1.0012507951841958,1.9531123010263423
"Gamma (α = 1.78, θ = 1)",1.499063377991723,450,1.4709184257282109,1.4375539112430191,1.0660134367846554,2.065973848766184
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,450,1.4780003301851976,1.4136589477513195,0.973550637040437,2.368763043144803
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,450,1.7083550989986354,1.667530914870538,1.2493500661562198,2.4081150958904467
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,450,1.6797643421918727,1.5972481342547022,1.1012934938755794,2.7638249359060336
"Gamma (α = 1, θ = 1)",2,450,1.9507020452387087,1.899594905770074,1.4319544785450873,2.7866885525087257
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,450,1.894585740890942,1.7865863666442707,1.2294292340200945,3.2196002051814703
"Gamma (α = 0.79, θ = 1)",2.250175801852048,450,2.186203648766793,2.1228785297487516,1.6063612422562021,3.145222047885386
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,450,2.1198141337337617,1.9833715832708998,1.3539040045498736,3.726138107198474
"Gamma (α = 0.64, θ = 1)",2.5,450,2.420448337279391,2.345434153304007,1.773182239518212,3.515811731390231
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,450,2.359882720055705,2.18938773407541,1.4836599493190545,4.281017811188397
"Gamma (α = 0.53, θ = 1)",2.7472112789737806,450,2.6478511278922108,2.561482317617508,1.9373010904074017,3.867535665733772
"Log-normal (μ = 0, σ = 0.7)",2.8883566031310934,450,2.6150265387593663,2.4053214677012233,1.6142251200230753,4.948901511979553
"Gamma (α = 0.44, θ = 1)",3.0151134457776365,450,2.896445092736182,2.7916786482561964,2.1122593112772345,4.289003772091593
"Log-normal (μ = 0, σ = 0.75)",3.262912728207002,450,2.8831089936975283,2.629413867990121,1.7459792655793818,5.634613678980123
"Gamma (α = 16, θ = 1)",0.5,500,0.4950361309362474,0.48917209233944425,0.2629750148911106,0.7631311959142034
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,500,0.766245731849188,0.7507399157767356,0.47915745309039776,1.144642088569918
"Gamma (α = 4, θ = 1)",1,500,0.985544644902349,0.969327750167592,0.6891959614031026,1.3793179220188838
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,500,1.1065345768265402,1.0748371438856235,0.73798494489945,1.6682544521749199
"Gamma (α = 2.56, θ = 1)",1.25,500,1.2305770013934605,1.2079318705737823,0.8910403734000112,1.7060661007369853
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,500,1.289916363751384,1.2461299186315549,0.8661218880034954,1.9789246874747368
"Gamma (α = 2, θ = 1)",1.4142135623730951,500,1.3901576847730215,1.362435572554814,1.0191272672191576,1.9272310218049105
"Gamma (α = 1.78, θ = 1)",1.499063377991723,500,1.4734362549157678,1.4428039602255072,1.0837390129690896,2.046353200271107
